2020-01-01,New Year's Day
2020-01-25,Chinese New Year
2020-01-26,Chinese New Year Holiday
2020-01-27,Chinese New Year Holiday
2020-02-01,Federal Territory Day
2020-02-08,Thaipusam
2020-05-01,Labour Day
2020-05-07,Wesak Day
2020-05-10,Nuzul Al-Quran
2020-05-11,Nuzul Al-Quran Holiday
2020-05-24,Hari Raya Aidilfitri
2020-05-25,Hari Raya Aidilfitri Holiday
2020-05-26,Hari Raya Aidilfitri Holiday
2020-06-06,Agong's Birthday
2020-07-31,Hari Raya Haji
2020-08-20,Awal Muharram
2020-08-31,Merdeka Day
2020-09-16,Malaysia Day
2020-10-29,Prophet Muhammad's Birthday
2020-11-14,Deepavali
2020-12-25,Christmas Day
2021-01-01,New Year's Day
2021-01-28,Thaipusam
2021-02-01,Federal Territory Day
2021-02-12,Chinese New Year
2021-02-13,Chinese New Year Holiday
2021-04-29,Nuzul Al-Quran
2021-05-01,Labour Day
2021-05-13,Hari Raya Aidilfitri
2021-05-14,Hari Raya Aidilfitri Holiday
2021-05-26,Wesak Day
2021-06-07,Agong's Birthday
2021-07-20,Hari Raya Haji
2021-08-10,Awal Muharram
2021-08-31,Merdeka Day
2021-09-16,Malaysia Day
2021-10-19,Prophet Muhammad's Birthday
2021-11-04,Deepavali
2021-12-03,Malaysia Cup Holiday
2021-12-25,Christmas Day
2022-01-01,New Year's Day
2022-01-18,Thaipusam
2022-02-01,Federal Territory Day
2022-02-01,Chinese New Year
2022-02-02,Chinese New Year Holiday
2022-04-19,Nuzul Al-Quran
2022-05-01,Labour Day
2022-05-02,Hari Raya Aidilfitri
2022-05-03,Hari Raya Aidilfitri Holiday
2022-05-04,Labour Day Holiday
2022-05-15,Wesak Day
2022-05-16,Wesak Day Holiday
2022-06-06,Agong's Birthday
2022-07-10,Hari Raya Haji
2022-07-11,Hari Raya Haji Holiday
2022-07-30,Awal Muharram
2022-08-31,Merdeka Day
2022-09-16,Malaysia Day
2022-10-09,Prophet Muhammad's Birthday
2022-10-10,Prophet Muhammad's Birthday Holiday
2022-10-24,Deepavali
2022-11-18,Special Public Holiday (GE15)
2022-11-19,Special Public Holiday (GE15)
2022-11-28,Special Public Holiday
2022-12-25,Christmas Day
2022-12-26,Christmas Day Holiday
2023-01-01,New Year's Day
2023-01-02,New Year Holiday
2023-01-22,Chinese New Year
2023-01-23,Chinese New Year Holiday
2023-01-24,Chinese New Year Holiday
2023-02-01,Federal Territory Day
2023-02-05,Thaipusam
2023-02-06,Thaipusam Holiday
2023-04-08,Nuzul Al-Quran
2023-04-22,Hari Raya Aidilfitri
2023-04-23,Hari Raya Aidilfitri Holiday
2023-04-24,Hari Raya Aidilfitri Holiday
2023-05-01,Labour Day
2023-05-04,Wesak Day
2023-06-05,Agong's Birthday
2023-06-29,Hari Raya Haji
2023-07-19,Awal Muharram
2023-08-31,Merdeka Day
2023-09-16,Malaysia Day
2023-09-28,Prophet Muhammad's Birthday
2023-11-12,Deepavali
2023-11-13,Deepavali Holiday
2023-12-25,Christmas Day
2024-01-01,New Year's Day
2024-01-25,Thaipusam
2024-02-01,Federal Territory Day
2024-02-10,Chinese New Year
2024-02-11,Chinese New Year Holiday
2024-02-12,Chinese New Year Holiday
2024-03-28,Nuzul Al-Quran
2024-04-10,Hari Raya Aidilfitri
2024-04-11,Hari Raya Aidilfitri Holiday
2024-05-01,Labour Day
2024-05-22,Wesak Day
2024-06-03,Agong's Birthday
2024-06-17,Hari Raya Haji
2024-07-07,Awal Muharram
2024-07-08,Awal Muharram Holiday
2024-08-31,Merdeka Day
2024-09-16,Prophet Muhammad's Birthday
2024-09-16,Malaysia Day
2024-09-17,Malaysia Day Holiday
2024-10-31,Deepavali
2024-12-25,Christmas Day
